Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Rental Days,Last Operator ID
EQX1100,Excavator,S003,2025-09-08,2025-09-20,4.6,0.1,12,OP271
EQX1101,Excavator,S002,2025-09-22,2025-10-11,3.0,1.2,19,OP259
EQX1102,Excavator,NULL,2025-09-18,2025-10-02,5.6,3.4,14,NULL
EQX1103,Excavator,S003,2025-09-03,2025-09-13,7.2,1.2,10,OP197
EQX1104,Crane,S004,2025-09-11,2025-09-21,0,9.4,10,OP171
EQX1105,Bulldozer,S001,2025-09-25,2025-10-18,4.5,0.3,23,OP291
EQX1106,Bulldozer,NULL,2025-09-18,2025-10-09,4.3,0.3,21,NULL
EQX1107,Bulldozer,NULL,2025-09-21,2025-10-01,8.7,1.6,10,NULL
EQX1108,Grader,S005,2025-09-01,2025-09-11,2.6,1.4,10,OP342
EQX1109,Grader,S005,2025-09-07,2025-09-18,5.8,0.9,11,OP346
EQX1110,Grader,S001,2025-09-24,2025-10-03,6.8,0.7,9,OP337
EQX1111,Grader,S001,2025-09-10,2025-09-23,4.0,2.5,13,OP251
EQX1112,Excavator,S006,2025-10-23,2025-11-03,2.6,1.6,11,OP253
EQX1113,Excavator,S004,2025-10-26,2025-11-12,6.7,9.4,17,OP269
EQX1114,Excavator,NULL,2025-10-12,2025-10-30,4.0,3.0,18,NULL
EQX1115,Excavator,S004,2025-10-27,2025-11-10,7.8,4.6,14,OP281
EQX1116,Excavator,S005,2025-10-05,2025-10-24,5.1,3.0,19,OP306
EQX1117,Excavator,S005,2025-10-30,2025-11-14,4.8,3.6,15,OP168
EQX1118,Crane,S004,2025-10-11,2025-10-17,2.4,0.9,6,OP245
EQX1119,Bulldozer,S002,2025-10-20,2025-11-09,3.2,2.3,20,OP224
EQX1120,Bulldozer,S006,2025-10-07,2025-10-25,5.0,4.0,18,OP325
EQX1121,Grader,S006,2025-10-09,2025-10-24,6.7,0.5,15,OP204
EQX1122,Grader,S004,2025-10-16,2025-10-26,5.5,3.2,10,OP214
EQX1123,Grader,NULL,2025-10-26,2025-11-06,3.1,1.8,11,NULL
EQX1124,Grader,S004,2025-10-10,2025-10-22,4.4,2.1,12,OP290
EQX1125,Excavator,S002,2025-11-18,2025-12-07,4.7,1.3,19,OP130
EQX1126,Excavator,S006,2025-11-24,2025-12-03,0,11.0,9,OP147
EQX1127,Excavator,S005,2025-11-07,2025-11-22,0,9.1,15,OP350
EQX1128,Excavator,S003,2025-11-25,2025-12-07,7.9,6.2,12,OP158
EQX1129,Excavator,S001,2025-11-12,2025-11-20,6.2,7.8,8,OP349
EQX1130,Excavator,S004,2025-11-02,2025-11-21,7.7,4.6,19,OP126
EQX1131,Excavator,NULL,2025-11-28,2025-12-10,4.8,1.9,12,NULL
EQX1132,Crane,S001,2025-11-06,2025-11-15,5.7,2.5,9,OP202
EQX1133,Bulldozer,NULL,2025-11-16,2025-11-27,3.9,2.8,11,NULL
EQX1134,Bulldozer,S005,2025-11-10,2025-11-27,3.7,8.5,17,OP252
EQX1135,Bulldozer,S005,2025-11-26,2025-12-18,5.7,2.3,22,OP209
EQX1136,Grader,S002,2025-11-10,2025-11-17,5.0,3.3,7,OP260
EQX1137,Grader,S001,2025-11-07,2025-12-07,2.8,0.4,30,OP140
EQX1138,Grader,S002,2025-11-01,2025-11-19,5.0,1.3,18,OP173
EQX1139,Grader,S003,2025-11-23,2026-01-04,2.4,0.4,42,OP301
EQX1140,Excavator,S001,2025-12-26,2026-01-13,6.8,1.2,18,OP239
EQX1141,Excavator,S002,2025-12-08,2025-12-20,7.0,0.5,12,OP302
EQX1142,Excavator,S004,2025-12-10,2025-12-27,7.5,3.1,17,OP276
EQX1143,Excavator,S001,2025-12-10,2025-12-22,5.0,2.2,12,OP253
EQX1144,Excavator,S001,2025-12-02,2025-12-21,3.9,0.9,19,OP158
EQX1145,Excavator,S006,2025-12-31,2026-01-17,5.5,0.1,17,OP310
EQX1146,Excavator,S006,2025-12-09,2025-12-29,6.5,2.8,20,OP213
EQX1147,Crane,S001,2025-12-30,2026-02-06,4.2,1.8,38,OP220
EQX1148,Bulldozer,S003,2025-12-12,2026-01-01,7.0,5.6,20,OP205
EQX1149,Bulldozer,S004,2025-12-23,2026-01-14,7.9,4.1,22,OP122
EQX1150,Bulldozer,S005,2025-12-11,2026-01-18,8.8,3.4,38,OP311
EQX1151,Grader,S005,2025-12-01,2025-12-16,4.3,0.2,15,OP192
EQX1152,Grader,S003,2025-12-20,2026-01-06,4.2,0.2,17,OP240
EQX1153,Grader,S001,2025-12-05,2025-12-19,6.4,2.9,14,OP349
EQX1154,Grader,S001,2025-12-21,2025-12-31,5.5,1.6,10,OP241
EQX1155,Grader,S002,2025-12-14,2025-12-22,4.3,5.9,8,OP227
